,msa_id,tract_id
278,39900,32031000102
279,40060,51760030500
280,40140,06065030300
281,40220,51770001100
282,40340,27109000300
283,40380,36055009400
284,40420,17201001100
285,40580,37127010400
286,40660,13115001100
287,40900,06067001101
288,40980,26145000600
289,41060,27145011600
290,41100,49053270300
291,41140,29021001200
292,41180,29510125500
293,41420,41047000200
294,41500,06053001300
295,41540,24045000200
296,41620,49035114000
297,41660,48451001800
298,41700,48029110100
299,41740,06073005300
300,41780,39043040800
301,41860,06075012402
302,41940,06085500901
303,42020,06079011101
304,42060,06083000900
305,42060,06083002101
306,42100,06087100700
307,42140,35049000400
308,42220,06097152000
309,42340,13051000300
310,42540,42069100200
311,42660,53033008100
312,42680,12061050808
313,43100,55117011400
314,43300,48181002000
315,43340,22017025300
316,43580,19193003600
317,43620,46099000700
318,43780,18141001700
319,43900,45083021200
320,44060,53063003500
321,44100,17167001400
322,44140,25013801101
323,44180,29077000700
324,44220,39023003400
325,44300,42027012500
326,44600,39081000200
327,44600,54029021300
328,44700,06077000100
329,44940,45085001300
330,45060,36067003200
331,45220,12073000200
332,45300,12057005101
333,45460,18167011100
334,45500,05091020400
335,45780,39095002800
336,45820,20177004000
337,45940,34021000900
338,46060,04019000100
339,46140,40143002500
340,46220,01125011600
341,46340,48423000500
342,46540,36065020300
343,46660,13185011000
344,46700,06095250900
345,47020,48469000100
346,47220,34011041100
347,47260,51810045423
348,47300,06107001200
349,47380,48309000100
350,47580,13153020400
351,47900,11001006202
352,47940,19013000100
353,48140,55073000100
354,48300,53007961000
355,48540,54069002700
356,48620,20173004300
357,48660,48485010100
358,48700,42081000600
359,48900,37129010100
360,49020,51840000100
361,49180,37067000100
362,49340,25027731700
363,49420,53077000100
364,49620,42133000100
365,49660,39099813700
366,49700,06101050604
367,49740,04027000100
