,msa_code,tract_counts,name,income,tract_id_2010,built_1999_2000,built_1995_1998,built_1990_1994,built_1980_1989,built_1970_1979,built_1960_1969,built_1950_1959,built_1940_1949,built_1939_earlier,pub_trans_gt_10pct,pop_density,LEAID,wilson_cbd,br_cbd,distance,dist_bin
2966,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.007402142209368,24025301201,0.0153291253381424,0.0480913736098587,0.0405770964833183,0.0994890291553952,0.1785392245266005,0.2476705740907724,0.1800420799519086,0.0778479110309588,0.1124135858130447,0,294.1663079269295,2400390,24510040100,24510280500,17.5252869610597,18.0
2967,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.9938356332263044,24025301602,0.0090007627765064,0.0749046529366895,0.1252479023646071,0.2027459954233409,0.2926010678871091,0.1864225781845919,0.0529366895499618,0.0372234935163997,0.0189168573607932,0,3370.068201146309,2400390,24510040100,24510280500,19.871783999681,20.0
2968,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.0415328807078603,24025301702,0.0441025641025641,0.1135042735042735,0.2105982905982906,0.2765811965811965,0.1264957264957265,0.1087179487179487,0.0464957264957264,0.0362393162393162,0.0372649572649572,0,1868.941711804884,2400390,24510040100,24510280500,24.5008524648898,25.0
2969,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.9578053383661363,24025302801,0.0255813953488372,0.0930232558139534,0.1434108527131783,0.1441860465116279,0.2085271317829457,0.189922480620155,0.1558139534883721,0.0193798449612403,0.0201550387596899,0,923.9730185995109,2400390,24510040100,24510280500,29.6252081581739,30.0
2970,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.4399862741733866,24025303201,0.0515982884470173,0.1261011829851497,0.1160332242637805,0.1955700981625975,0.1359174427384847,0.0974075006292474,0.042537125597785,0.0463126101182985,0.188522527057639,0,385.3659667665845,2400390,24510040100,24510280500,24.43957628826,24.0
2971,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.3447633520429425,24025303400,0.0423109965635738,0.0768900343642611,0.1591494845360824,0.2190721649484536,0.2190721649484536,0.1400343642611684,0.1024484536082474,0.0128865979381443,0.0281357388316151,0,630.7573711897682,2400390,24510040100,24510280500,18.1752928026522,18.0
2972,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.512549327189392,24025303603,0.1578082191780822,0.2821917808219178,0.2520547945205479,0.2120547945205479,0.0120547945205479,0.021917808219178,0.0454794520547945,0.0082191780821917,0.0082191780821917,0,2543.8902561017267,2400390,24510040100,24510280500,22.8928610190706,23.0
2973,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.0243265766317802,24025301202,0.0,0.2315186246418338,0.4492836676217765,0.1810888252148997,0.0355300859598853,0.0664756446991404,0.0263610315186246,0.0,0.0097421203438395,0,3274.5721621404537,2400390,24510040100,24510280500,19.303723839934,19.0
2974,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.5923306943797642,24025306100,0.0252918287937743,0.0364785992217898,0.0637159533073929,0.0778210116731517,0.1108949416342412,0.1094357976653696,0.1045719844357976,0.0520428015564202,0.4197470817120622,0,3200.850066573832,2400390,24510040100,24510280500,32.2894229437192,32.0
2975,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.1136915120468638,24025306400,0.0496495327102803,0.2453271028037383,0.3323598130841121,0.0665887850467289,0.0525700934579439,0.1086448598130841,0.1156542056074766,0.0,0.0292056074766355,0,1510.5743927997962,2400390,24510040100,24510280500,31.766231633418,32.0
2976,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.0483957940145592,24025301301,0.0609939759036144,0.0572289156626506,0.0414156626506024,0.1355421686746988,0.2951807228915662,0.1566265060240964,0.1061746987951807,0.0323795180722891,0.1144578313253012,0,680.8057521800861,2400390,24510040100,24510280500,17.0679918726751,17.0
2977,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.066533493467977,24025301401,0.0440026075619296,0.0769230769230769,0.0140156453715775,0.0958279009126466,0.2786831812255541,0.3983050847457627,0.0700782268578878,0.0162972620599739,0.0058670143415906,0,3335.182884400509,2400390,24510040100,24510280500,15.1677436918555,15.0
2978,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.7364886394274369,24025302802,0.041407867494824,0.1143892339544513,0.0067287784679089,0.1112836438923395,0.1521739130434782,0.2463768115942029,0.2008281573498964,0.0631469979296066,0.0636645962732919,0,2210.614471502928,2400390,24510040100,24510280500,27.0295065815723,27.0
2979,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",1.0284565798181329,24025302200,0.005893909626719,0.0412573673870334,0.0481335952848723,0.0638506876227897,0.1483300589390962,0.3320235756385069,0.1522593320235756,0.0962671905697446,0.111984282907662,0,295.3027213647081,2400390,24510040100,24510280500,28.6175991501745,29.0
2980,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.9972916002843208,24025305200,0.0384615384615384,0.0641025641025641,0.0421245421245421,0.1996336996336996,0.2051282051282051,0.1684981684981685,0.0714285714285714,0.0943223443223443,0.1163003663003663,0,184.7398257611782,2400390,24510040100,24510280500,31.8381797487958,32.0
2981,12580,669,"Baltimore-Columbia-Towson, MD Metro Area",0.8367974705262384,24025302400,0.0371563981042654,0.0864454976303317,0.2030331753554502,0.2534597156398104,0.1298578199052132,0.1129857819905213,0.0650236966824644,0.0458767772511848,0.0661611374407583,0,462.4118537502627,2400390,24510040100,24510280500,23.9638484230554,24.0
