,msa_code,tract_counts,name,income,tract_id_2010,built_1999_2000,built_1995_1998,built_1990_1994,built_1980_1989,built_1970_1979,built_1960_1969,built_1950_1959,built_1940_1949,built_1939_earlier,pub_trans_gt_10pct,pop_density,LEAID,wilson_cbd,br_cbd,distance,dist_bin
0,10180,87,"Abilene, TX Metro Area",0.9471539296528346,48059030101,0.0425299890948745,0.0940567066521265,0.047164667393675,0.2126499454743729,0.2216466739367502,0.1414940021810251,0.0956924754634678,0.0460741548527808,0.0986913849509269,0,667.584767234083,4809280,48441011000,48441013600,30.7884989200592,31.0
1,10180,87,"Abilene, TX Metro Area",0.9471539296528346,48059030101,0.0425299890948745,0.0940567066521265,0.047164667393675,0.2126499454743729,0.2216466739367502,0.1414940021810251,0.0956924754634678,0.0460741548527808,0.0986913849509269,0,667.584767234083,4814450,48441011000,48441013600,30.7884989200592,31.0
2,10180,87,"Abilene, TX Metro Area",1.0105120831825714,48059030102,0.0371705339040324,0.0995719756701959,0.0511376436134264,0.2097319216039648,0.2128857850867312,0.1471052038747465,0.1061049785987835,0.0432529849065104,0.0930389727416084,0,12.740050020418572,4809280,48441011000,48441013600,28.8980895748068,29.0
3,10180,87,"Abilene, TX Metro Area",1.0105120831825714,48059030102,0.0371705339040324,0.0995719756701959,0.0511376436134264,0.2097319216039648,0.2128857850867312,0.1471052038747465,0.1061049785987835,0.0432529849065104,0.0930389727416084,0,12.740050020418572,4814450,48441011000,48441013600,28.8980895748068,29.0
4,10180,87,"Abilene, TX Metro Area",1.0105120831825714,48059030102,0.0371705339040324,0.0995719756701959,0.0511376436134264,0.2097319216039648,0.2128857850867312,0.1471052038747465,0.1061049785987835,0.0432529849065104,0.0930389727416084,0,12.740050020418572,4818690,48441011000,48441013600,28.8980895748068,29.0
5,10180,87,"Abilene, TX Metro Area",0.756451029308145,48441010300,0.0162271805273833,0.0436105476673428,0.019945909398242,0.0949966193373901,0.187288708586883,0.259972954699121,0.2494929006085192,0.0716700473292765,0.0567951318458417,0,1985.8688657928576,4807440,48441011000,48441013600,16.3260156297819,16.0
6,10180,87,"Abilene, TX Metro Area",0.7579364323665517,48441011300,0.0,0.0035863717872086,0.0,0.0549910340705319,0.2175732217573222,0.2964734010759115,0.4100418410041841,0.0137477585176329,0.0035863717872086,0,3339.824205386101,4807440,48441011000,48441013600,14.6939012080195,15.0
7,10180,87,"Abilene, TX Metro Area",2.29140561025309,48441012000,0.0138713745271122,0.1034047919293821,0.1097099621689785,0.3581336696090794,0.1197982345523329,0.0907944514501891,0.1298865069356872,0.0214375788146279,0.0529634300126103,0,688.7798913971782,4807440,48441011000,48441013600,18.0160682766443,18.0
8,10180,87,"Abilene, TX Metro Area",2.29140561025309,48441012000,0.0138713745271122,0.1034047919293821,0.1097099621689785,0.3581336696090794,0.1197982345523329,0.0907944514501891,0.1298865069356872,0.0214375788146279,0.0529634300126103,0,688.7798913971782,4846500,48441011000,48441013600,18.0160682766443,18.0
9,10180,87,"Abilene, TX Metro Area",0.5318885566833615,48441010400,0.0191616766467065,0.0,0.0,0.0514970059880239,0.0646706586826347,0.1544910179640718,0.3568862275449102,0.2095808383233532,0.1437125748502994,0,3056.5045209463538,4807440,48441011000,48441013600,16.3298290176111,16.0
10,10180,87,"Abilene, TX Metro Area",1.252708956218697,48441011600,0.0,0.0053722179585571,0.0046047582501918,0.0053722179585571,0.0460475825019186,0.0575594781273983,0.2647735993860322,0.2087490406753645,0.40752110514198,0,3535.9492514985586,4807440,48441011000,48441013600,15.5699717265407,16.0
11,10180,87,"Abilene, TX Metro Area",0.591038068214279,48441011900,0.0,0.0,0.0048496605237633,0.02909796314258,0.0678952473326867,0.0824442289039767,0.1833171677982541,0.2463627546071775,0.3860329776915616,0,2674.115284062199,4807440,48441011000,48441013600,16.506082589644,17.0
12,10180,87,"Abilene, TX Metro Area",0.9886880844013636,48441012200,0.0,0.0,0.0129870129870129,0.0259740259740259,0.0689310689310689,0.1138861138861138,0.3316683316683316,0.3116883116883117,0.1348651348651348,0,854.2201369677388,4807440,48441011000,48441013600,16.4384317901545,16.0
13,10180,87,"Abilene, TX Metro Area",0.6268591342766278,48441010200,0.0371959942775393,0.0185979971387696,0.0314735336194563,0.0257510729613733,0.0314735336194563,0.1444921316165951,0.2131616595135908,0.2632331902718169,0.234620886981402,0,1427.786363692379,4807440,48441011000,48441013600,17.5353417674083,18.0
14,10180,87,"Abilene, TX Metro Area",0.7967283045457142,48441010700,0.0,0.0,0.0098187311178247,0.0196374622356495,0.0740181268882175,0.1442598187311178,0.4501510574018127,0.2175226586102719,0.0845921450151057,0,6100.349910068208,4807440,48441011000,48441013600,16.1291788875687,16.0
15,10180,87,"Abilene, TX Metro Area",0.6636323817866733,48441011200,0.0,0.0,0.0,0.0078431372549019,0.0501960784313725,0.1952941176470588,0.4392156862745098,0.1137254901960784,0.1937254901960784,0,3526.437494058234,4807440,48441011000,48441013600,15.9252636794614,16.0
16,10180,87,"Abilene, TX Metro Area",1.2718478033174,48441012500,0.0,0.0,0.0138217000691085,0.050449205252246,0.2259847961299239,0.3683483068417415,0.2833448514167243,0.0469937802349689,0.0110573600552868,0,4637.060843516743,4807440,48441011000,48441013600,14.6238307206904,15.0
17,10180,87,"Abilene, TX Metro Area",0.8860619679686161,48441013200,0.0444938820912124,0.1624026696329254,0.028921023359288,0.3470522803114572,0.1690767519466073,0.0967741935483871,0.0812013348164627,0.0355951056729699,0.0344827586206896,0,63.57198874150267,4807440,48441011000,48441013600,12.2113609028165,12.0
